"","RET","CAPEI","bm","evm","pe_op_basic","pe_exi","pe_inc","ps","pcf","dpr","npm","opmbd","opmad","gpm","ptpm","cfm","roa","roe","roce","efftax","aftret_eq","aftret_invcapx","aftret_equity","pretret_noa","pretret_earnat","GProf","equity_invcap","debt_invcap","totdebt_invcap","capital_ratio","int_debt","int_totdebt","cash_lt","invt_act","rect_act","debt_at","debt_ebitda","short_debt","curr_debt","lt_debt","profit_lct","ocf_lct","cash_debt","fcf_ocf","lt_ppent","dltt_be","debt_assets","debt_capital","de_ratio","intcov","intcov_ratio","cash_ratio","quick_ratio","curr_ratio","cash_conversion","inv_turn","at_turn","rect_turn","pay_turn","sale_invcap","sale_equity","sale_nwc","rd_sale","adv_sale","staff_sale","accrual","ptb"
"435",0.576139,0.757833633498348,-0.999744165594633,0.69516244821176,-0.0520858369098712,-0.122522718446602,-0.15351444995669,-0.986093977795223,-0.0103189221631244,-0.958059990140685,0.462088827127398,0.999062821795776,0.998992884153635,0.999002954533698,0.45306386685697,0.456546604933546,0.423405718777636,0.801016771459397,-0.418272463387835,0.677709555490944,-0.784134340816237,0.145361096468108,-0.745519992478476,0.0600703113058541,0.257272836106788,0.209175084175084,0.734078982027435,-0.142625607779578,0.510624331876746,0.991153620386036,-0.99980652173913,-0.996193653237533,-0.974407684863257,-0.964730290456432,-0.907921462423832,-0.883094908475619,-0.474089346287412,-1,-0.375886524822695,0.330637007077857,0.0164796409105483,0.225479193787314,-0.655821100288105,0.999818807496111,-0.993010849395038,-0.998187774728317,-0.891709601873536,0.469536518869278,0.957526811996572,0.621858622813592,0.416106105785963,-0.933349297573436,-0.923683472169816,-0.922367669965847,-0.999992511029068,-0.999268707138661,-0.937631100545378,-0.999135473175896,-0.902566172124628,-0.8805235723387,-0.991488915844237,0.648897720904166,-0.998516544117647,-1,-1,0.559064442909306,-0.886747501598726
"436",-0.065421,0.758558507599074,-0.999382218055222,0.696069785804206,0.0243090128755366,-0.0436566990291263,-0.0735553980628397,-0.99592538596688,0.0779941637865023,-0.94732429141439,0.462452976770142,0.999562569501838,0.999525389119108,0.999502687273483,0.453482274171929,0.456915778906781,0.518718679375061,0.803643292386972,-0.393017039211506,0.677846380133062,-0.778928524359706,0.15245363492596,-0.740426846466899,0.0671906047791306,0.291831278183487,0.30702861952862,0.740968127570766,-0.208928834536614,0.494308058738583,0.990646041227858,-0.999815217391304,-0.997818835001283,-0.978780601455249,-0.769709543568465,-0.819566689234936,-0.992001230579911,-0.472255656851283,-0.572315332091868,-0.148936170212766,-0.908998988877654,0.134369990381533,0.274296359473897,-0.643956647002332,0.999950843674024,-0.996033337508437,-0.999931538156403,-0.934613583138173,0.447438656909169,0.95739638455557,0.624016645269493,0.421543312419457,-0.987068965517241,-0.971652202517439,-0.96201588637661,-0.999998348869404,-0.999913026454467,-0.882394070759334,-0.997998949255207,-0.923366841825761,-0.87398123479671,-0.985411872801202,0.648932625396974,-1,-1,-0.958625359742678,0.556695943945525,-0.9409161013655
"437",-0.072464,0.757357443503153,-0.998507148100502,0.69266964288974,-0.0608661724541553,-0.130190291262136,-0.185362626978502,-0.998622625178642,0.00228895465551848,-0.958059990140685,0.462392139269731,0.999399818735578,0.999351103801983,0.999602512820776,0.453349322314839,0.456832671021811,0.475090891225312,0.802974874706354,-0.407415910917231,0.677709555490944,-0.78025743531169,0.149398571907797,-0.741726995554242,0.0650634330259336,0.283051997286404,0.312920875420875,0.734484225882925,-0.18859584499779,0.511374505354363,0.99087508488427,-0.999752173913043,-0.998417586177401,-0.99937871130387,0.775933609958506,-0.931618144888287,-0.900323027226581,-0.499444249275796,-0.582247051520794,0.523809523809524,-0.524772497472194,0.103687079192049,0.256407954392423,-0.647710248319386,0.999384974340112,-0.999341311234612,-0.999391897742169,-0.915690866510539,0.472750753336203,0.957508814703576,0.622116427834631,0.416303906536606,-0.999341475095785,-0.994272390406254,-0.956268926750452,-0.999936544993037,-0.999984151856808,-0.920290868410013,-0.99858751689829,-0.938780092140152,-0.877613807482914,-0.986919043953785,0.648903430319447,-1,-0.997065912186943,-1,0.549738478239416,-0.98362402979273
"438",-0.218935,0.757556599539466,-0.997815232322351,0.695315518698861,-0.0364916113928989,-0.10701359223301,-0.137815576029609,-0.998202799032675,0.0317514849231151,-0.958059990140685,0.462279655545951,0.999319955906038,0.999293209717401,0.999398626702971,0.453281977419908,0.456731191920164,0.456028299105827,0.801360687610421,-0.410499040621874,0.677709555490944,-0.783574221324079,0.144786025782336,-0.744853800384135,0.0583634788811331,0.274432339678359,0.275042087542088,0.748181468198488,-0.194047443642257,0.534629883160481,0.990751930757455,-0.997413043478261,-0.994269095885724,-0.999617668494689,0.591286307053942,-0.882193635748138,-0.867405014613136,-0.476703966274858,-0.449410304158907,0.787234042553192,-0.852376137512639,0.0937479961526131,0.252457691789738,-0.648357799423789,0.999818807496111,-0.998797785374284,-0.999712057540166,-0.875971896955503,0.478720045917635,0.957651310917528,0.622076020570971,0.416354664233508,-0.999660759897829,-0.995588192610223,-0.978985864801324,-0.999978720442995,-0.999970049836424,-0.896797650678227,-0.998730151938014,-0.938896333658153,-0.868013436812232,-0.982429769451172,0.649010659910331,-1,-1,-1,0.555906444290931,-0.973642963724593
"439",-0.025,0.758040533556361,-0.993921025663389,0.695337689359179,-0.0356082715567695,-0.106100194174757,-0.136864320025199,-0.994303591813965,0.0510234069413689,-0.958059990140685,0.461376284316837,0.997783201458828,0.997473164433372,0.998894658939967,0.452104527966597,0.455899238250623,0.442664832465363,0.802112310811448,-0.415779720222379,0.677709555490944,-0.781965250626016,0.146882637657545,-0.743397848306986,0.0624777092780353,0.268685901272996,0.253156565656566,0.735578384292748,-0.179313393251805,0.504397892012528,0.990936086461103,-0.999554347826087,-0.993584808827303,-0.993882695915027,-0.520746887966805,-0.926878808395396,-0.920627595754499,-0.474061702728074,-0.832402234636871,-0.163120567375887,0.0798786653185035,0.0298172491183071,0.202989630560668,-0.653702839895733,0.999818807496111,-0.999882684517276,-0.999196580129554,-0.934051522248244,0.463222844023533,0.957395749356994,0.622075352682315,0.416230836523719,-0.988006864623244,-0.986396927214853,-0.982120570051955,-0.999989695523759,-0.999934046447116,-0.99077052160537,-0.999154293076971,-0.936847108187574,-0.884943820224719,-0.998863576831475,0.648932625396974,-0.998854779411765,-1,-1,0.547666041646107,-1
"440",-0.014077,0.594568141162068,-0.99878042576078,0.696952164808989,0.261690206788919,-0.207456310679612,-0.239625167336011,-0.995327277484954,0.134804114323558,-0.958059990140685,0.462397829107899,0.999492387015272,0.999428295914758,0.999756183663277,0.45335497059635,0.456849292598805,0.489633487275229,0.803110777056355,-0.404267182708234,0.677709555490944,-0.780032289241313,0.149997603872143,-0.741506722361758,0.0695725276404953,0.294465062452612,0.31797138047138,0.735659433063846,-0.152055400029468,0.508673880834943,0.991091467836055,-0.999921739130435,-0.998503122059704,-0.998470673978757,-0.427385892116182,-0.741367637102234,-0.903399477003538,-0.465153565731201,-0.982619490999379,-0.463019250253293,0.100101112234581,0.126771401090093,0.269336086546663,-0.647567567567568,0.999634757066293,-0.997806254287497,-0.9987072793062,-0.895081967213115,0.46907734251686,0.957519613079374,0.622161027954851,0.416508291866164,-0.995390325670498,-0.985293975367409,-0.979450265579195,-0.999993331241343,-0.99994633582573,-0.945741854286114,-0.998819893150507,-0.940077497470106,-0.880847909185683,-0.992560861102492,0.649195719689894,-0.999970588235294,-0.948443885570575,-1,0.552255008388434,-0.970081879851036
"441",-0.017039,0.747359372774646,-0.999683114202443,0.696553092923278,0.780204447912603,-0.369674563106796,-0.40409166076069,-0.99198879696805,0.16679153128169,-0.959753769924033,0.462405707345362,0.999561359458966,0.999448800069714,0.999648493072863,0.453364094743405,0.456893471000816,0.50653434214405,0.802919404359415,-0.4033160043951,0.681574851630778,-0.780422176338795,0.150572674557914,-0.741888171060938,0.0686172109848677,0.298296021389521,0.313973063973064,0.719935971470832,-0.0912037719169,0.523939911104443,0.991555310014617,-0.999869565217391,-0.997433923530921,-0.998900796922231,-1,-0.633039945836154,-0.792647285033072,-0.465887271868647,-0.995034140285537,-0.775075987841945,0.579373104145602,0.178390509778775,0.281411321093505,-0.64742488681575,0.999722781184902,-0.999089997792262,-0.991478514055821,-0.839625292740047,0.489166307935141,0.958498877551182,0.622212863535506,0.416477099775184,-0.992616538952746,-0.978018363180758,-0.978018363180758,-0.999997097923395,-0.999913026454467,-0.931338274367221,-0.998552452451025,-0.92362088578849,-0.880078767519981,-0.972484051791881,0.649209368578367,-1,-0.999161689196269,-1,0.552945820586204,-0.835312409875738
"442",0.255583,0.757777573515176,-0.999453444679444,0.695149637021816,-0.0646242684354272,-0.132290485436893,0.118670761477282,-0.985041536908757,-0.0422939216457295,-0.958059990140685,0.462165858782593,0.999157205139778,0.999079122217126,0.999909854505777,0.453134687617446,0.456708446604277,0.454259604991648,0.802422944754308,-0.414336553126589,0.677709555490944,-0.781361200193296,0.147062347246849,-0.742806871449102,0.0617389310643501,0.272756295143461,0.317760942760943,0.75300387007882,-0.211433623102991,0.493220307196039,0.990616115926015,-0.999263043478261,-0.990163373535198,-0.983057935170914,-1,-0.606635071090047,-0.998461775111521,-0.472452617211571,-0.782743637492241,0.789260385005066,-0.983822042467139,0.0879769156781021,0.2528168065718,-0.649246810262039,0.999818807496111,-0.99780733057633,-0.999985904914554,-0.913067915690867,0.462304491318697,0.957420945567187,0.616202236684898,0.410802848300708,-0.984215357598978,-0.962131986571077,-0.962131986571077,-0.999993331241343,-0.999913026454467,-0.96084463711369,-0.999885693863999,-0.942078913929249,-0.880875709486853,-0.995792816354822,0.648896389874837,-0.999601102941176,-1,-1,0.554080726339682,-0.944000702185553
"443",0.069868,0.758752646856112,-0.999630784437709,0.696545592071135,0.0132157627779945,-0.0555712621359223,-0.0856350893771164,-0.984498063336238,0.100142800968563,-0.956374637122428,0.462575089450821,0.999748311082662,0.999675551900991,0.999908039495826,0.453572212192902,0.457032129945739,0.509482165667682,0.803942832260444,-0.400101677681749,0.672304982127281,-0.778236612045864,0.151902525518762,-0.739749909338777,0.0691776634228358,0.3028452851271,0.31986531986532,0.732741677304318,-0.137763371150729,0.513587517113332,0.991191602499914,-0.999910869565217,-0.998417586177401,-0.980333823195574,-0.87551867219917,-0.95260663507109,-0.864020919858483,-0.469239053438456,-0.947858472998138,-0.625126646403242,0.354903943377149,0.192625841615903,0.313237868653768,-0.645844423103306,0.999938840385123,-0.997407489275118,-0.998075014044746,-0.886651053864169,0.47240637107189,0.957562171383986,0.622460761541487,0.416745073323989,-0.916946040868455,-0.9087645971807,-0.902862837295253,-0.99996079935392,-0.999981191762907,-0.959166550132849,-0.998637637266415,-0.939858138476458,-0.882293524846519,-0.994035793299939,0.64889550252195,-0.999680147058824,-0.995598868280415,-1,0.551120102634955,-0.914408596757407
"444",0.063636,0.757873969750504,-0.99637761739674,0.69447582153415,-0.0586687475614514,-0.128987961165048,-0.160069296795023,-0.998605372049355,0.0615865394565285,-0.958059990140685,0.461973717324463,0.999233437840703,0.99859064087847,0.999291541115874,0.452661535420156,0.456578098447851,0.47214306770168,0.802123404880836,-0.412106203978549,0.677709555490944,-0.78208056934499,0.148559927157713,-0.743027144641586,0.064171804147348,0.276108384213257,0.261574074074074,0.722813202844812,-0.146751141888905,0.509574089008083,0.99129288813692,-0.99984347826087,-0.996920708237105,-0.999641564213771,-1,-0.686526743398781,-0.8772496538994,-0.488214053294479,-1,-0.75886524822695,0.599595551061679,0.0783584482205837,0.279256632401131,-0.647918781725888,0.997421007641808,-0.999854162863219,-0.996405753211163,-0.905386416861827,0.477285119816329,0.957630561097369,0.622099767723168,0.416267258651666,-0.997705140485313,-0.986145376793506,-0.986145376793506,-0.999993331241343,-0.999913026454467,-0.986435463571528,-0.999171131935827,-0.939878761971587,-0.88466581721302,-0.99712267325416,0.648932625396974,-1,-1,-1,0.55541300700681,-0.999322892502915
